	S001	S002	S003	S004	S049	S050	S051	S052
seq158	13	9	3	4	39	6	6	18
seq159	23	22	3	9	16	3	11	11
seq160	32	0	28	0	0	29	8	0
seq161	16	16	2	6	14	10	16	17
seq162	7	6	0	2	8	37	19	18
seq163	21	16	3	6	14	10	8	18
seq164	22	9	5	4	10	12	11	22
seq165	22	8	0	2	5	9	42	7
seq166	5	1	4	0	14	13	55	2
seq167	21	0	24	1	5	18	7	17
seq168	21	15	7	4	11	6	7	22
seq169	20	6	9	3	24	10	9	11
seq170	16	0	0	0	49	4	16	7
seq171	13	1	0	17	16	0	25	20
seq172	34	14	33	5	0	0	0	5
seq173	18	17	2	3	0	27	9	12
seq174	0	0	0	0	0	88	0	0
seq175	0	0	87	0	0	0	0	0
seq176	30	5	0	6	30	3	8	5
seq177	9	12	7	8	13	5	10	23
seq178	0	0	0	0	44	0	42	0
seq179	7	0	6	0	25	27	14	7
seq180	0	30	0	6	29	0	10	10
seq181	8	18	3	9	10	17	11	9
seq182	29	10	0	4	19	7	9	6
seq183	0	0	83	0	0	0	0	0
seq184	22	9	3	8	11	3	18	9
seq185	18	21	2	9	13	5	6	9
seq186	0	0	0	83	0	0	0	0
seq187	9	17	0	0	10	25	7	14
seq188	25	0	57	0	0	0	0	0
seq189	82	0	0	0	0	0	0	0
seq190	0	0	5	0	35	13	26	1
seq191	5	6	16	5	0	37	1	10
seq192	0	41	18	20	0	0	0	0
seq193	0	79	0	0	0	0	0	0
seq194	79	0	0	0	0	0	0	0
seq195	14	11	4	10	18	4	10	8
seq196	11	14	5	9	8	9	11	12
seq197	0	0	0	0	0	0	78	0
seq198	40	20	18	0	0	0	0	0
seq199	0	0	78	0	0	0	0	0
seq200	78	0	0	0	0	0	0	0
seq201	21	18	3	4	7	7	8	9
seq202	0	0	35	41	0	0	0	0
seq203	76	0	0	0	0	0	0	0
seq204	0	10	17	2	0	14	33	0
seq205	0	0	76	0	0	0	0	0
seq206	15	21	15	0	6	4	9	6
seq207	0	8	0	67	0	0	0	0
seq208	0	9	22	44	0	0	0	0
seq209	13	9	0	8	19	5	10	11
seq210	0	0	0	74	0	0	0	0
seq211	0	0	0	0	0	5	21	48
seq212	8	6	4	7	3	26	16	3
seq213	73	0	0	0	0	0	0	0
seq214	40	9	0	0	0	18	3	3
seq215	14	6	2	2	9	8	15	17
seq216	20	16	4	10	8	3	7	4
seq217	0	0	0	71	0	0	0	0
seq218	0	0	71	0	0	0	0	0
seq219	19	15	0	28	0	4	0	3
seq220	24	8	2	4	4	8	5	14
seq221	12	15	2	3	5	9	7	16
seq222	12	12	2	4	9	9	10	11
seq223	22	13	2	2	8	6	6	9
seq224	30	3	0	1	6	18	9	0
seq225	8	19	4	5	6	5	6	14
seq226	17	14	9	3	9	9	3	2
seq227	23	22	6	15	0	0	0	0
seq228	12	14	4	8	9	4	8	7
seq229	17	13	0	5	5	8	8	9
seq230	11	8	3	6	4	6	13	14
seq231	0	0	0	1	15	26	10	12
seq232	12	8	0	8	8	7	12	9
seq233	0	0	63	0	0	0	0	0
seq234	0	0	0	62	0	0	0	0
seq235	0	0	62	0	0	0	0	0
seq236	0	0	0	0	62	0	0	0
seq237	0	2	0	0	15	31	14	0
seq238	0	0	0	0	0	62	0	0
seq239	13	18	4	4	17	0	6	0
seq240	18	7	5	4	4	13	0	10
seq241	13	4	0	3	3	6	27	5
seq242	0	15	0	6	40	0	0	0
seq243	0	61	0	0	0	0	0	0
seq244	9	39	0	0	0	0	12	0
seq245	17	7	3	4	14	3	6	6
seq246	56	0	1	0	0	2	0	0
seq247	1	0	1	4	21	19	9	4
seq248	7	0	0	0	11	37	0	4
seq249	19	0	28	11	0	0	0	0
seq250	14	1	8	0	1	26	4	4
seq251	13	10	2	3	9	3	5	12
seq252	0	0	0	0	3	45	4	4
seq253	7	2	0	0	19	12	11	4
seq254	0	26	7	0	21	0	0	1
seq255	0	33	7	3	0	0	0	11
seq256	0	0	0	0	3	27	24	0
seq257	0	0	0	54	0	0	0	0
seq258	54	0	0	0	0	0	0	0
seq259	14	9	2	3	6	0	7	13
seq260	14	12	3	5	8	4	5	3
seq261	0	0	53	0	0	0	0	0
seq262	0	52	0	0	0	0	0	0
seq263	8	5	0	0	18	16	5	0
seq264	52	0	0	0	0	0	0	0
seq265	0	0	22	0	0	25	0	5
seq266	0	0	0	52	0	0	0	0
seq267	23	10	0	17	0	0	0	0
seq268	0	0	0	0	12	0	1	37
seq269	0	0	0	0	0	0	0	50
seq270	26	21	3	0	0	0	0	0
seq271	14	0	0	2	0	0	34	0
seq272	9	0	0	7	17	5	5	7
seq273	2	29	0	3	3	0	2	10
seq274	3	2	10	0	0	26	7	1
seq275	0	0	0	0	0	0	47	0
seq276	3	5	0	0	4	17	18	0
seq277	47	0	0	0	0	0	0	0
seq278	0	0	0	1	28	3	10	4
seq279	0	0	2	0	37	0	4	3
seq280	3	4	4	0	6	7	14	8
seq281	0	0	0	41	0	5	0	0
seq282	28	3	10	0	5	0	0	0
seq283	0	0	0	45	0	0	0	0
seq284	2	2	0	0	39	0	0	2
seq285	14	12	2	0	0	11	5	1
seq286	0	4	0	1	30	0	5	5
seq287	7	0	0	1	6	16	12	3
seq288	0	0	0	44	0	0	0	0
seq289	3	1	1	0	11	2	8	18
seq290	0	44	0	0	0	0	0	0
seq291	0	1	0	0	1	2	18	22
seq292	1	0	3	3	10	0	5	22
seq293	0	0	0	0	28	8	1	7
seq294	13	14	3	3	0	9	1	1
seq295	24	4	5	0	2	7	2	0
seq296	0	0	0	7	0	10	26	0
seq297	0	1	0	0	17	24	0	0
seq298	0	0	0	0	0	0	0	42
seq299	3	4	1	3	9	11	5	6
seq300	0	0	42	0	0	0	0	0
seq301	0	0	0	0	0	0	24	17
seq302	1	0	6	0	5	0	20	9
seq303	41	0	0	0	0	0	0	0
seq304	13	28	0	0	0	0	0	0
seq305	0	5	5	0	19	8	2	2
seq306	28	1	0	0	0	0	12	0
seq307	0	0	17	0	0	20	0	3
seq308	40	0	0	0	0	0	0	0
seq309	0	0	0	0	0	28	5	7
seq310	40	0	0	0	0	0	0	0
seq311	40	0	0	0	0	0	0	0
seq312	39	0	0	0	0	0	0	0
seq313	0	0	0	0	20	14	5	0
seq314	2	0	0	1	4	17	11	4
seq315	2	16	0	0	5	6	9	0
seq316	14	6	0	0	0	6	9	3
