	S001	S002	S003	S004	S049	S050	S051	S052
seq693	0	0	0	0	0	0	4	0
seq694	0	0	0	0	0	0	0	4
seq695	0	0	0	0	0	0	0	4
seq696	3	0	0	0	0	0	0	0
seq697	3	0	0	0	0	0	0	0
seq698	3	0	0	0	0	0	0	0
seq699	3	0	0	0	0	0	0	0
seq700	0	3	0	0	0	0	0	0
seq701	0	3	0	0	0	0	0	0
seq702	0	3	0	0	0	0	0	0
seq703	0	0	3	0	0	0	0	0
seq704	0	0	3	0	0	0	0	0
seq705	0	0	3	0	0	0	0	0
seq706	0	0	3	0	0	0	0	0
seq707	0	0	3	0	0	0	0	0
seq708	0	0	0	3	0	0	0	0
seq709	0	0	0	3	0	0	0	0
seq710	0	0	0	3	0	0	0	0
seq711	0	0	0	0	3	0	0	0
seq712	0	0	0	0	3	0	0	0
seq713	0	0	0	0	3	0	0	0
seq714	0	0	0	0	0	3	0	0
seq715	0	0	0	0	0	3	0	0
seq716	0	0	0	0	0	3	0	0
seq717	0	0	0	0	0	3	0	0
seq718	0	0	0	0	0	1	2	0
seq719	0	0	0	0	0	0	3	0
seq720	0	0	0	0	0	0	3	0
seq721	0	0	0	0	0	0	3	0
seq722	0	0	0	0	0	0	3	0
seq723	0	0	0	1	0	0	0	2
seq724	0	0	0	0	3	0	0	0
seq725	3	0	0	0	0	0	0	0
seq726	3	0	0	0	0	0	0	0
seq727	3	0	0	0	0	0	0	0
seq728	3	0	0	0	0	0	0	0
seq729	3	0	0	0	0	0	0	0
seq730	3	0	0	0	0	0	0	0
seq731	3	0	0	0	0	0	0	0
seq732	2	0	0	1	0	0	0	0
seq733	0	3	0	0	0	0	0	0
seq734	0	3	0	0	0	0	0	0
seq735	0	3	0	0	0	0	0	0
seq736	0	2	0	0	1	0	0	0
seq737	0	0	3	0	0	0	0	0
seq738	0	0	3	0	0	0	0	0
seq739	0	0	3	0	0	0	0	0
seq740	0	0	3	0	0	0	0	0
seq741	0	0	3	0	0	0	0	0
seq742	0	0	0	3	0	0	0	0
seq743	0	0	0	0	3	0	0	0
seq744	0	0	0	0	3	0	0	0
seq745	0	0	0	0	3	0	0	0
seq746	0	0	0	0	3	0	0	0
seq747	0	0	0	0	3	0	0	0
seq748	0	0	0	0	0	3	0	0
seq749	0	0	0	0	0	3	0	0
seq750	0	0	0	0	0	3	0	0
seq751	0	0	0	0	0	3	0	0
seq752	0	0	0	0	0	0	3	0
seq753	0	0	0	0	0	0	3	0
seq754	0	0	0	0	0	0	3	0
seq755	0	0	0	0	0	0	3	0
seq756	0	0	0	0	0	0	3	0
seq757	0	0	0	0	0	0	0	3
seq758	0	0	0	0	0	0	0	3
seq759	0	0	0	0	0	0	0	3
seq760	2	0	0	0	0	0	0	0
seq761	2	0	0	0	0	0	0	0
seq762	2	0	0	0	0	0	0	0
seq763	2	0	0	0	0	0	0	0
seq764	2	0	0	0	0	0	0	0
seq765	2	0	0	0	0	0	0	0
seq766	1	0	0	1	0	0	0	0
seq767	0	2	0	0	0	0	0	0
seq768	0	2	0	0	0	0	0	0
seq769	0	0	2	0	0	0	0	0
seq770	0	0	1	1	0	0	0	0
seq771	0	0	2	0	0	0	0	0
seq772	0	0	0	2	0	0	0	0
seq773	0	0	0	2	0	0	0	0
seq774	0	0	0	2	0	0	0	0
seq775	0	0	0	2	0	0	0	0
seq776	0	0	0	1	0	0	0	1
seq777	0	0	0	0	2	0	0	0
seq778	0	0	0	0	2	0	0	0
seq779	0	0	0	0	2	0	0	0
seq780	0	0	0	0	2	0	0	0
seq781	0	0	0	0	2	0	0	0
seq782	0	0	0	0	2	0	0	0
seq783	0	0	0	0	2	0	0	0
seq784	0	0	0	0	0	2	0	0
seq785	0	0	0	0	0	2	0	0
seq786	0	0	0	0	0	2	0	0
seq787	0	0	0	0	0	2	0	0
seq788	0	0	0	0	0	2	0	0
seq789	0	0	0	0	0	0	2	0
seq790	0	0	0	0	0	0	2	0
seq791	0	0	0	0	0	0	2	0
seq792	0	0	0	0	0	0	2	0
seq793	0	0	0	0	0	0	2	0
seq794	0	0	0	0	0	0	2	0
seq795	0	0	0	0	0	0	2	0
seq796	0	0	0	0	0	0	2	0
seq797	0	0	0	0	0	0	2	0
seq798	0	0	0	0	0	0	0	2
seq799	0	0	0	0	0	0	0	2
seq800	0	0	0	0	0	0	0	2
seq801	0	0	0	0	0	0	0	2
seq802	0	0	0	0	0	0	0	2
seq803	0	0	0	0	0	0	0	2
seq804	0	0	0	0	0	0	0	2
seq805	0	0	0	0	0	0	0	2
seq806	2	0	0	0	0	0	0	0
seq807	0	0	0	0	0	2	0	0
seq808	2	0	0	0	0	0	0	0
seq809	2	0	0	0	0	0	0	0
seq810	2	0	0	0	0	0	0	0
seq811	2	0	0	0	0	0	0	0
seq812	2	0	0	0	0	0	0	0
seq813	2	0	0	0	0	0	0	0
seq814	0	2	0	0	0	0	0	0
seq815	0	2	0	0	0	0	0	0
seq816	0	2	0	0	0	0	0	0
seq817	0	2	0	0	0	0	0	0
seq818	0	2	0	0	0	0	0	0
seq819	0	2	0	0	0	0	0	0
seq820	0	2	0	0	0	0	0	0
seq821	0	2	0	0	0	0	0	0
seq822	0	2	0	0	0	0	0	0
seq823	0	0	2	0	0	0	0	0
seq824	0	0	2	0	0	0	0	0
seq825	0	0	2	0	0	0	0	0
seq826	0	0	2	0	0	0	0	0
seq827	0	0	0	2	0	0	0	0
seq828	0	0	0	2	0	0	0	0
seq829	0	0	0	2	0	0	0	0
seq830	0	0	0	2	0	0	0	0
seq831	0	0	0	2	0	0	0	0
seq832	0	0	0	2	0	0	0	0
seq833	0	0	0	0	2	0	0	0
seq834	0	0	0	0	2	0	0	0
seq835	0	0	0	0	2	0	0	0
seq836	0	0	0	0	2	0	0	0
seq837	0	0	0	0	2	0	0	0
seq838	0	0	0	0	2	0	0	0
seq839	0	0	0	0	1	0	1	0
seq840	0	0	0	0	0	2	0	0
seq841	0	0	0	0	0	2	0	0
seq842	0	0	0	0	0	2	0	0
seq843	0	0	0	0	0	1	1	0
seq844	0	0	0	0	0	1	1	0
seq845	0	0	0	0	0	1	1	0
seq846	0	0	0	0	0	0	2	0
seq847	0	0	0	0	0	0	2	0
seq848	0	0	0	0	0	0	2	0
seq849	0	0	0	0	0	0	0	2
seq850	0	0	0	0	0	0	0	2
seq851	0	0	0	0	0	0	0	2
seq852	0	0	0	0	0	0	0	2
seq853	0	0	0	0	0	0	0	2
seq854	0	0	0	0	0	0	0	2
seq855	1	0	0	0	0	0	0	0
seq856	1	0	0	0	0	0	0	0
seq857	1	0	0	0	0	0	0	0
seq858	1	0	0	0	0	0	0	0
seq859	0	1	0	0	0	0	0	0
seq860	0	1	0	0	0	0	0	0
seq861	0	1	0	0	0	0	0	0
seq862	0	1	0	0	0	0	0	0
seq863	0	1	0	0	0	0	0	0
seq864	0	1	0	0	0	0	0	0
seq865	0	1	0	0	0	0	0	0
seq866	0	1	0	0	0	0	0	0
seq867	0	1	0	0	0	0	0	0
seq868	0	1	0	0	0	0	0	0
seq869	0	1	0	0	0	0	0	0
seq870	0	0	1	0	0	0	0	0
seq871	0	0	1	0	0	0	0	0
seq872	0	0	1	0	0	0	0	0
seq873	0	0	0	1	0	0	0	0
seq874	0	0	0	1	0	0	0	0
seq875	0	0	0	1	0	0	0	0
seq876	0	0	0	1	0	0	0	0
seq877	0	0	0	1	0	0	0	0
seq878	0	0	0	1	0	0	0	0
seq879	0	0	0	1	0	0	0	0
seq880	0	0	0	1	0	0	0	0
seq881	0	0	0	1	0	0	0	0
seq882	0	0	0	1	0	0	0	0
seq883	0	0	0	1	0	0	0	0
seq884	0	0	0	0	1	0	0	0
seq885	0	0	0	0	1	0	0	0
seq886	0	0	0	0	1	0	0	0
seq887	0	0	0	0	1	0	0	0
seq888	0	0	0	0	0	1	0	0
seq889	0	0	0	0	0	1	0	0
seq890	0	0	0	0	0	1	0	0
seq891	0	0	0	0	0	1	0	0
seq892	0	0	0	0	0	1	0	0
seq893	0	0	0	0	0	1	0	0
seq894	0	0	0	0	0	0	1	0
seq895	0	0	0	0	0	0	1	0
seq896	0	0	0	0	0	0	1	0
seq897	0	0	0	0	0	0	0	1
seq898	0	0	0	0	0	0	0	1
seq899	1	0	0	0	0	0	0	0
seq900	1	0	0	0	0	0	0	0
seq901	1	0	0	0	0	0	0	0
seq902	1	0	0	0	0	0	0	0
seq903	1	0	0	0	0	0	0	0
seq904	1	0	0	0	0	0	0	0
seq905	1	0	0	0	0	0	0	0
seq906	1	0	0	0	0	0	0	0
seq907	0	1	0	0	0	0	0	0
seq908	0	1	0	0	0	0	0	0
seq909	0	1	0	0	0	0	0	0
seq910	0	1	0	0	0	0	0	0
seq911	0	1	0	0	0	0	0	0
seq912	0	0	1	0	0	0	0	0
seq913	0	0	0	1	0	0	0	0
seq914	0	0	0	1	0	0	0	0
seq915	0	0	0	1	0	0	0	0
seq916	0	0	0	1	0	0	0	0
seq917	0	0	0	1	0	0	0	0
seq918	0	0	0	1	0	0	0	0
seq919	0	0	0	0	1	0	0	0
seq920	0	0	0	0	1	0	0	0
seq921	0	0	0	0	1	0	0	0
seq922	0	0	0	0	1	0	0	0
seq923	0	0	0	0	0	1	0	0
seq924	0	0	0	0	0	1	0	0
seq925	0	0	0	0	0	1	0	0
seq926	0	0	0	0	0	1	0	0
seq927	0	0	0	0	0	1	0	0
seq928	0	0	0	0	0	1	0	0
seq929	0	0	0	0	0	1	0	0
seq930	0	0	0	0	0	1	0	0
seq931	0	0	0	0	0	0	1	0
seq932	0	0	0	0	0	0	1	0
seq933	0	0	0	0	0	0	1	0
seq934	0	0	0	0	0	0	1	0
seq935	0	0	0	0	0	0	1	0
seq936	0	0	0	0	0	0	1	0
seq937	0	0	0	0	0	0	1	0
seq938	0	0	0	0	0	0	1	0
seq939	0	0	0	0	0	0	1	0
seq940	0	0	0	0	0	0	0	1
seq941	0	0	0	0	0	0	0	1
seq942	0	0	0	0	0	0	0	1
seq943	0	0	0	0	0	0	0	1
seq944	0	0	0	0	0	0	0	1
